feature,importance
int_rate,9526.594024109167
dti,9083.74461713131
revol_bal,8941.405384503965
revol_util,8624.415902076495
annual_inc,7551.085835311024
loan_amnt,7018.953683289612
total_acc,6391.312188163059
open_acc,5048.750431999615
emp_length,3676.558649906871
purpose,2451.5152241667106
inq_last_6mths,1898.6007702873771
delinq_2yrs,1515.5211218379438
verification_status,1308.0243858068827
pub_rec,1096.6531844705837
home_ownership,1057.9731271907347
term,902.2847979580747
