feature,importance
dti,10065.970222190004
revol_bal,9982.98274776777
revol_util,9762.180690782594
annual_inc,8265.715310470556
loan_amnt,7790.770064041402
total_acc,6978.632058311901
open_acc,5537.869316809639
emp_length,4024.233441053556
purpose,2533.2697908510268
inq_last_6mths,1865.9665225073409
delinq_2yrs,1669.9186129445995
term,1339.3425474091055
verification_status,1319.1460815312546
pub_rec,1182.1508243748692
home_ownership,1101.0382540970124
